NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Radha Krishna,600,South Indian,,,,,,,,,,
Indiana Water's,1200,Chinese,,,,,,,,,,
Flax,700,Healthy Food,,,,,,,,,,
Navya - The Regale by Tunga,850,North Indian,,,,,,,,,,
The Pantry,1400,Cafe,,,,,,,,,,
Felicita,600,Fast Food,,,,,,,,,,
Vanilla Beans,500,Bakery,,,,,,,,,,
Farmhouse Sea N Sand,1100,North Indian,,,,,,,,,,
Nav Gomantak,800,Seafood,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Batman Night Kitchen,300,Fast Food,,,,,,,,,,
Tosha,300,Biryani,,,,,,,,,,
Pushpa Punjab,650,North Indian,,,,,,,,,,
Heritage,500,Chinese,,,,,,,,,,
Kebab Junction,400,Mughlai,,,,,,,,,,
New Cafe Gulshan,250,North Indian,,,,,,,,,,
Yahoo The Chinese Cuisine,400,Chinese,Mumbai,Santacruz East,https://www.zomato.com/mumbai/yahoo-the-chinese-cuisine-santacruz-east/info,108,Quick Bites,6pm to 1230AM(Mon-Sun),Average,3.2,11,
The Coastal Family Restaurant And Bar,1000,North Indian,,,,,,,,,,
Midnight Express,450,Burger,,,,,,,,,,
Red Chilly Restaurant,400,Chinese,Mumbai,Malad West,https://www.zomato.com/mumbai/red-chilly-restaurant-malad-west/info,108,Quick Bites,11am to 330pm,,,,
Roll Factory,250,Fast Food,,,,,,,,,,
Hotel Sneha,500,Mughlai,,,,,,,,,,
Hotel Shashikant,800,Chinese,,,,,,,,,,
Golden Plate,500,North Indian,,,,,,,,,,
Lata Restaurant,600,North Indian,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Royal Garden,700,North Indian,,,,,,,,,,
Hungry Nights,400,Biryani,,,,,,,,,,
The Kitchen Crew,500,North Indian,,,,,,,,,,
Being Panda,450,Chinese,Mumbai,Marol,https://www.zomato.com/mumbai/being-panda-marol/info,109,none,1130am to 4am(Mon-Sun),Good,3.7,109,
Daily Cafe,1500,North Indian,,,,,,,,,,
Shree Narayan Fine Dinning,900,North Indian,,,,,,,,,,
Kitchen in Kloud,600,North Indian,,,,,,,,,,
Kebabwala,550,North Indian,,,,,,,,,,
Mugshot Kitchen & Bar,850,North Indian,,,,,,,,,,
Bhukha Bhediya,600,Chinese,,,,,,,,,,
Dessert Therapy,250,Desserts,Mumbai,Kandivali West,https://www.zomato.com/mumbai/dessert-therapy-kandivali-west/info,109,Dessert Parlor,8am to 1am(Mon,,,,
Sarovar Restaurant & Bar,1000,North Indian,,,,,,,,,,
Ronak Fine Dine,850,North Indian,,,,,,,,,,
Hotel Tunga,300,North Indian,,,,,,,,,,
Powaikar's Cafe & Restaurant,400,North Indian,,,,,,,,,,
